Timestamp	Filename	Error	Message
2015-05-22 10:19:10.143 -0400	--	0	script steps imported : 0
2015-05-22 10:19:10.144 -0400	FogBugz API Integration.fmp12	0	scripts imported : 50
2015-05-22 10:19:10.144 -0400	FogBugz API Integration.fmp12	0	Import completed
2015-05-22 11:26:14.440 -0400	FogBugz API Integration.fmp12	0	Import of script steps from clipboard started
2015-05-22 11:26:14.500 -0400	~FBAPI: Refresh Categories	3703	Unknown Error: <unknown>.
2015-05-22 11:26:14.500 -0400	~FBAPI: Refresh Categories	0	script steps imported : 5
2015-05-22 11:26:14.501 -0400	FogBugz API Integration.fmp12	0	Import completed
2015-05-22 11:28:12.198 -0400	FogBugz API Integration.fmp12	0	Import of script steps from clipboard started
2015-05-22 11:28:12.199 -0400	~FBAPI: Refresh Areas	3703	Unknown Error: <unknown>.
2015-05-22 11:28:12.200 -0400	~FBAPI: Refresh Areas	0	script steps imported : 5
2015-05-22 11:28:12.200 -0400	FogBugz API Integration.fmp12	0	Import completed
2015-05-22 11:29:24.243 -0400	FogBugz API Integration.fmp12	0	Import of script steps from clipboard started
2015-05-22 11:29:24.244 -0400	~FBAPI: Refresh Priorities	3703	Unknown Error: <unknown>.
2015-05-22 11:29:24.245 -0400	~FBAPI: Refresh Priorities	0	script steps imported : 5
2015-05-22 11:29:24.245 -0400	FogBugz API Integration.fmp12	0	Import completed
2015-05-22 11:29:42.674 -0400	FogBugz API Integration.fmp12	0	Import of script steps from clipboard started
2015-05-22 11:29:42.676 -0400	~FBAPI: Refresh Projects	3703	Unknown Error: <unknown>.
2015-05-22 11:29:42.676 -0400	~FBAPI: Refresh Projects	0	script steps imported : 5
2015-05-22 11:29:42.677 -0400	FogBugz API Integration.fmp12	0	Import completed
